ID,Category
1,Exam Anxiety
2,Overthinking
3,Loneliness
4,Fear of Failure
5,Lack of Motivation
6,Comparison
7,Heartbreak
8,Purpose Confusion
9,Self-Doubt
10,Discipline Problems
11,Procrastination Guilt
12,Imposter Syndrome
13,Social Anxiety
14,Burnout
15,Academic Pressure
16,Perfectionism
17,Body Image Issues
18,Rejection Sensitivity
19,Future Uncertainty
20,FOMO (Fear of Missing Out)
21,Homesickness
22,Financial Stress
23,Relationship Conflicts
24,Trust Issues
25,Emotional Numbness
26,Grief and Loss
27,Feeling Misunderstood
28,Sleep Deprivation Brain Fog
29,Performance Anxiety
30,Identity Crisis
31,Anger Management
32,Career Indecision
33,Guilt over Past Mistakes
34,Existential Dread
35,Jealousy
36,Difficulty Communicating
37,Chronic Fatigue
38,Abandonment Issues
39,Resentment
40,Fear of Judgment
41,Technology Addiction
42,Emotional Exhaustion
43,Peer Pressure
44,Feeling Inadequate
45,Attachment Issues
46,Inability to Focus
47,Intrusive Thoughts
48,Regret
49,People-Pleasing
50,Fear of Commitment
51,Emotional Vulnerability
52,Feeling Unlovable
53,Quarter-Life Crisis
54,Creative Block
55,Difficulty Setting Boundaries
56,Impatience
57,Unrealistic Expectations
58,Academic Apathy
59,Conflict Avoidance
60,Trust Betrayal Trauma
61,Feeling Left Behind
62,Decision Fatigue
63,Nostalgia/Stuck in the Past
64,Inferiority Complex
65,Success Anxiety
66,Chronic Boredom
67,Feeling Empty
68,Loss of Passion
69,Lack of Self-Esteem
70,Body Dysmorphia
71,Mood Swings
72,Hyper-independence
73,Codependency
74,Separation Anxiety
75,Anticipatory Anxiety
76,Paranoia (Social/Relational)
77,Shame
78,Fear of the Unknown
79,Feeling Unseen
80,Creative Burnout
81,Work-Life Imbalance
82,Romantic Obsession
83,Fear of Intimacy
84,Existential Loneliness
85,Spiritual Crisis
86,Feeling Overwhelmed
87,Disconnection from Reality
88,Frustration with Lack of Progress
89,Loss of Control
90,Social Isolation
91,Toxic Positivity Exhaustion
92,Parental Pressure
93,Academic Validation Seeking
94,Sensory Overload
95,Apathy Towards Future
96,Disillusionment
97,Fear of Abandonment
98,Regret over Wasted Time
99,Difficulty Making Friends
100,Feeling Unappreciated
101,Anxiety about Public Speaking
102,Fear of Disappointing Others
103,Overcommitment Stress
104,Nostalgic Sadness
105,Cyberbullying Trauma
106,Unrequited Love
107,Feeling Out of Place
108,Chronic Indecision
109,Social Battery Depletion
110,Hopelessness
111,Workplace Bullying Stress
112,Cultural Disconnect
113,Religious Trauma
114,Diet Culture Anxiety
115,Pandemic-related Social Regression
116,Climate Anxiety
117,Quarter-system Burnout (Academic)
118,Long-distance Relationship Strain
119,Financial Insecurity
120,Job Search Depression
121,First-Generation Student Pressure
122,Transitioning to Adulthood
123,Loss of Identity in a Relationship
124,Toxic Friendship Dynamics
125,Empathy Overload
126,Self-Sabotage
127,Loss of a Pet
128,Feeling Unattractive
129,Post-vacation Blues
130,Post-project Empty Feeling
